,clause_text,clause_type,totalwords,totalletters
0," Make any Investments, except:",investments,4.0,30.0
1," No more than 45% of the “value” (as defined in Section 2(a)(41) of the Investment Company Act of 1940, as amended (“Investment Company Act”)) of the Company’s total assets consist of, and no more than 45% of the Company’s net income after taxes is derived from, securities other than “Government Securities” (as defined in Section 2(a)(16) of the Investment Company Act) or money market funds meeting the conditions of Rule 2a-7 of the Investment Company Act.",investments,76.0,460.0
2," Make or hold any Investments, except:",investments,6.0,38.0
3," The SubAdviser is hereby authorized and directed and hereby agrees, subject to the stated investment policies and restrictions of the Fund as set forth in the Fund's prospectus, summary prospectus and/or statement of additional information, in each case as currently in effect and as supplemented or amended from time to time (collectively referred to hereinafter as the “Prospectus”) and subject to the directions and continuous oversight of the Adviser and the Fund’s Board of Trustees, to (i) regularly provide investment advice and recommendations to the Fund with respect to the Fund’s investments, investment policies and the purchase and sale of securities and other investments; (ii) supervise continuously the investment program of the Fund and the composition of its portfolio and determine what securities and other investments shall be purchased or sold by the Fund; and (iii) arrange, subject to the provisions of paragraphs (c) and (d) below, for the purchase of securities, and other investments for the Fund and the sale of securities and other investments held in the portfolio of the Fund. The Adviser agrees to provide the SubAdviser with such assistance as may be reasonably requested by the SubAdviser in connection with its activities under this Agreement, including, without limitation, information concerning the Fund, its assets available, or to become available, for investment and generally as to the conditions of the Fund or the Fund’s affairs.",investments,228.0,1474.0
4," Make any advance, loan, extension of credit (by way of guaranty or otherwise) or capital contribution to, or purchase any Capital Stock, bonds, notes, debentures or other debt securities of, or any assets constituting a business unit of, or make any other investment in, any Person (all of the foregoing, “Investments”), except:",investments,52.0,329.0
5," Directly or indirectly acquire or own, or make any Investment in or to any Person, or permit any of its Subsidiaries so to do, other than Permitted Investments.",investments,28.0,161.0
6," Directly or indirectly acquire or own, or make any Investment in or to any Person, or permit any of its Subsidiaries so to do, other than Permitted Investments; or maintain or invest any of its property with a Person other than Bank or permit any of its Subsidiaries to do so unless such Person has entered into an account control agreement with Bank in form and substance satisfactory to Bank; or suffer or permit any Subsidiary to be a party to, or be bound by, an agreement that restricts such Subsidiary from paying dividends or otherwise distributing property to Borrower.",investments,100.0,578.0
7," All expenditures made and all liabilities incurred (contingently or otherwise) for the acquisition of stock or Indebtedness of, or for loans, advances, capital contributions or transfers of property to, or in respect of any guaranties (or other commitments as described under Indebtedness), or obligations of, any Person. In determining the aggregate amount of Investments outstanding at any particular time: (a) the amount of any Investment represented by a guaranty shall be taken at not less than the principal amount of the obligations guaranteed and still outstanding; (b) there shall be included as an Investment all interest accrued with respect to Indebtedness constituting an Investment unless and until such interest is paid; (c) there shall be deducted in respect of each such Investment any amount received as a return of capital (but only by repurchase, redemption, retirement, repayment, liquidating dividend or liquidating distribution); (d) there shall not be deducted in respect of any Investment any amounts received as earnings on such Investment, whether as dividends, interest or otherwise, except that accrued interest included as provided in the foregoing clause (b) may be deducted when paid; and (e) there shall not be deducted from the aggregate amount of Investments any decrease in the value thereof.",investments,203.0,1329.0
8," No Credit Party shall, nor shall it permit any of its Subsidiaries to, directly or indirectly, make or own any Investment in any Person, including without limitation any Joint Venture, except:",investments,31.0,193.0
9," The Borrower will not, and will not permit any of its Subsidiaries to, make, incur, assume or suffer to exist any Investment in any other Person, except:",investments,27.0,154.0
10," Set forth on Schedule 3.12(b) is a complete and correct list, as of the Effective Date, of all Investments (other than Investments of the types referred to in clauses (b), (c) and (d) of Section 6.04) held by the Borrower or any of the Subsidiary Guarantors in any Person on the Effective Date and, for each such Investment, (x) the identity of the Person or Persons holding such Investment and (y) the nature of such Investment. Except as disclosed in Schedule 3.12, each of the Borrower and any of the Subsidiary Guarantors owned, free and clear of all Liens (other than Liens created pursuant to this Agreement or the Security Documents and Permitted Liens), all such Investments as of such date.",investments,121.0,700.0
11," The Trustees shall have power, subject to the Fundamental Policies in effect from time to time with respect to the Trust to:",investments,22.0,125.0
12," All or a portion of amounts in the Certificate Account or the Trust Account maintained with an Eligible Depository pursuant to clause (i) of Section 4.01 or 4.02 shall be invested and reinvested at the discretion and direction of Fannie Mae in one or more Eligible Investments bearing interest or sold at a discount. Any investments in obligations of Fannie Mae shall be made on a basis substantially comparable to that available in an arm’s length transaction. No investment shall mature later than the Business Day immediately preceding the Distribution Date upon which the related amounts are required to be applied to distributions pursuant hereto, except that any investment in the federal funds market or on which the Eligible Depository, in its commercial capacity, or Fannie Mae is the obligor may mature on the related Distribution Date. No Eligible Investment may be sold while in the Certificate Account or Trust Account except to the extent that Fannie Mae believes that a sale of an Eligible Investment is desirable because of the possibility of a default by the obligor thereon or because such sale will not otherwise give rise to a tax under Section 860F(a)(5) of the Code. All amounts held by the Trustee pursuant to clause (ii) of Section 4.01 or 4.02 may be commingled with other funds at any time held by Fannie Mae and applied, subject to its obligations herein contained, in its normal business operations or otherwise. Under no circumstance shall Fannie Mae be accountable to either Trust for interest in respect of any amounts so commingled and applied.",investments,262.0,1577.0
13," Make any Investments, except Permitted Investments.",investments,6.0,52.0
14," Neither Borrower nor any of its Subsidiaries owns any stock, shares, partnership interests or other equity securities except for Permitted Investments.",investments,21.0,152.0
15," The Borrower will not, nor will it permit any of its Subsidiaries to, acquire, make or enter into, or hold, any Investments except:",investments,23.0,132.0
16," Purchase, own, invest in or otherwise acquire (in one transaction or a series of transactions), directly or indirectly, any Equity Interests, interests in any partnership or joint venture (including, without limitation, the creation or capitalization of any Subsidiary), evidence of Indebtedness or other obligation or security, substantially all or a portion of the business or assets of any other Person or any other investment or interest whatsoever in any other Person, or make or permit to exist, directly or indirectly, any loans, advances or extensions of credit to, or any investment in cash or by delivery of Property in, any Person (all the foregoing, “Investments”) except:",investments,106.0,685.0
17," Whenever Administrative Agent in good faith determines that it is uncertain about how to distribute to Lender Parties any funds which it has received, or whenever Administrative Agent in good faith determines that there is any dispute among Lender Parties about how such funds should be distributed, Administrative Agent may choose to defer distribution of the funds which are the subject of such uncertainty or dispute. If Administrative Agent in good faith believes that the uncertainty or dispute will not be promptly resolved, or if Administrative Agent is otherwise required to invest funds pending distribution to Lender Parties, Administrative Agent shall invest such funds pending distribution; all interest on any such Investment shall be distributed upon the distribution of such Investment and in the same proportion and to the same Persons as such Investment. All moneys received by Administrative Agent for distribution to Lender Parties (other than to the Person who is Administrative Agent in its separate capacity as a Lender Party) shall be held by Administrative Agent pending such distribution solely as Administrative Agent for such Lender Parties, and Administrative Agent shall have no equitable title to any portion thereof.",investments,191.0,1248.0
18," With respect to any Person, all shares of capital stock, evidences of Indebtedness and other securities issued by any other Person and owned by such Person, all loans, advances, or extensions of credit to, or contributions to the capital of, any other Person, all purchases of the securities or business or integral part of the business of any other Person and commitments and options to make such purchases, all interests in real property, and all other investments; provided, however, that the term “Investment” shall not include (i) equipment, inventory and other tangible personal property acquired in the ordinary course of business, or (ii) current trade and customer accounts receivable for services rendered in the ordinary course of business and payable in accordance with customary trade terms. In determining the aggregate amount of Investments outstanding at any particular time: (a) there shall be included as an Investment all interest accrued with respect to Indebtedness constituting an Investment unless and until such interest is paid; (b) there shall be deducted in respect of each Investment any amount received as a return of capital; (c) there shall not be deducted in respect of any Investment any amounts received as earnings on such Investment, whether as dividends, interest or otherwise, except that accrued interest included as provided in the foregoing clause (a) may be deducted when paid; and (d) there shall not be deducted in respect of any Investment any decrease in the value thereof. Issuing Lender. KeyBank, in its capacity as the Lender issuing the Letters of Credit and any successor thereto.",investments,259.0,1632.0
19," Each Loan Party will not, and will not permit any of its Subsidiaries to, directly or indirectly, make or acquire any Investment or incur any liabilities (including contingent obligations) for or in connection with any Investment except for Permitted Investments.",investments,40.0,264.0
20," The Sub-Advisor is hereby authorized and directed and hereby agrees, subject to the stated investment objectives, policies and restrictions of each Fund as set forth in such Fund’s prospectus and statement of additional information as currently in effect and as amended from time to time (collectively referred to as the “Prospectus”) and subject to the directions of the Advisor and the Trust’s Board of Trustees, to purchase, hold and sell investments for the Sub-Advisor Assets and to monitor such investments on a continuous basis. In providing these services, the Sub-Advisor will conduct an ongoing program of investment, evaluation and, if appropriate, sale and reinvestment of the Sub-Advisor Assets. The Sub-Advisor acknowledges that the Advisor is a wholly-owned subsidiary of Genworth Financial, Inc., and the purchase, acquisition, or possession of securities issued by Genworth and/or its affiliated entities (collectively referred to as “Genworth Securities”) by the Fund is therefore prohibited under the 1940 Act. Accordingly, the Sub-Advisor is directed and hereby agrees to refrain from the purchase, acquisition, or possession on behalf of the Fund of Genworth Securities. The Advisor agrees to provide the Sub-Advisor information concerning: (i) a Fund; (ii) its assets available or to become available for investment; and (iii) the conditions of a Fund’s or the Trust’s affairs as relevant to the Sub-Advisor.",investments,215.0,1431.0
