label,message,clean_email
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",jurong point crazy available bugis n great world la e buffet cine get amore wat
ham,Ok lar... Joking wif u oni...,ok lar joking wif u oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry   wkly comp win fa cup final tkts st   text fa   receive entry questionstd txt ratetcs apply over
ham,U dun say so early hor... U c already then say...,u dun early hor u c
ham,"Nah I don't think he goes to usf, he lives around here though",nah not think go usf live
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",freemsg hey darle   week word d like fun tb ok xxx std chgs send   rcv
ham,Even my brother is not like to speak with me. They treat me like aids patent.,brother like speak treat like aids patent
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,request melle melle oru minnaminunginte nurungu vettam set callertune caller press   copy friend callertune
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner value network customer select receivea   prize reward claim   claim code kl valid   hour
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,mobile   month u r entitle update late colour mobile camera free mobile update co free
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",m go to home soon not want talk stuff anymore tonight k ve cry today
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",chance win cash     pound txt csh send   cost pday day   tsandcs apply reply hl   info
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent win   week free membership   prize jackpot txt word claim   tc wwwdbuknet lccltd pobox ldnwarw
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ve search right word thank breather promise will not help grant fulfil promise wonderful blessing time
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,date sunday
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub use credit click wap link txt message click   xxxmobilemovieclubcomnqjkgighjjgcbl
ham,Oh k...i'm watching here:),oh kim watch
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh u remember   spell yes v naughty v wet
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,fine s way u feel s way gota b
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",england v macedonia   not miss goalsteam news txt ur national team   eg england   trywale scotland txt poboxoxwwq
ham,Is that seriously how you spell his name?,seriously spell
ham,IÛ÷m going to try for 2 months ha ha only joking,m go try   month ha ha joke
ham,So Ì_ pay first lar... Then when is da stock comin...,  pay lar da stock comin
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft finish lunch str lor ard   smth lor u finish ur lunch
